PID,county_state,county,state,area,poptotal,popdensity,popwhite,popblack,popamerindian,popasian,popother,percwhite,percblack,percamerindan,percasian,percother,popadults,perchsd,percollege,percprof,poppovertyknown,percpovertyknown,percbelowpoverty,percchildbelowpovert,percadultpoverty,percelderlypoverty,inmetro,category
561,"ADAMS, IL",ADAMS,IL,0.052000000000000005,66090,1270.96154,63917,1702,98,249,124,96.71205931305795,2.57527613859888,0.14828264000000002,0.37675897,0.18762294,43298,75.1073953,19.631391800000003,4.35585939,63628,96.27477679999998,13.151442800000002,18.0117169,11.0097759,12.443811799999999,0,AAR
562,"ALEXANDER, IL",ALEXANDER,IL,0.014,10626,759,7054,3496,19,48,9,66.38434029738377,32.900432900432904,0.1788067,0.45172219,0.08469791,6724,59.72635340000001,11.243307599999998,2.8703152899999997,10529,99.08714470000001,32.2442777,45.82651390000001,27.385646699999995,25.228975900000002,0,LHR
563,"BOND, IL",BOND,IL,0.022,14991,681.409091,14477,429,35,16,34,96.57127609899273,2.8617170302181307,0.23347342000000001,0.10673071000000002,0.22680275,9669,69.33498809999999,17.033819400000002,4.48857172,14235,94.9569742,12.0688444,14.036060999999998,10.852090000000002,12.69741,0,AAR
564,"BOONE, IL",BOONE,IL,0.017,30806,1812.1176500000001,29344,127,46,150,1139,95.25417126533792,0.4122573524638058,0.14932156,0.48691813000000006,3.6973316900000004,19272,75.4721876,17.2789539,4.19779992,30337,98.47756930000001,7.209018690000001,11.179535800000002,5.53601292,6.21704745,1,ALU
565,"BROWN, IL",BROWN,IL,0.018000000000000002,5836,324.222222,5264,547,14,5,6,90.19876627827279,9.372858122001372,0.23989034000000004,0.08567512000000002,0.10281014000000001,3979,68.86152300000002,14.475999000000002,3.36768032,4815,82.5051405,13.5202492,13.0228887,11.143210899999998,19.2,0,AAR
566,"BUREAU, IL",BUREAU,IL,0.05,35688,713.76,35157,50,65,195,221,98.51210490921318,0.14010311589329746,0.18213405,0.5464021499999999,0.61925577,23444,76.62941479999999,18.904623799999996,3.27589149,35107,98.37200179999998,10.399635400000001,14.158818499999999,8.179287310000001,11.0085864,0,AAR
567,"CALHOUN, IL",CALHOUN,IL,0.017,5322,313.058824,5298,1,8,15,0,99.54904171364149,0.018789928598271326,0.15031943000000006,0.28184893000000005,0,3583,62.8244488,11.917387699999999,3.20960089,5241,98.4780158,15.1497806,13.787761399999997,12.9323308,21.0852713,0,LAR
568,"CARROLL, IL",CARROLL,IL,0.027,16805,622.4074069999999,16519,111,30,61,84,98.29812555786968,0.660517703064564,0.17851830000000005,0.36298721,0.49985123,11323,75.95160290000001,16.1971209,3.05572728,16455,97.91728650000002,11.7107262,17.2254616,10.0270366,9.52505219,0,AAR
569,"CASS, IL",CASS,IL,0.024,13437,559.875,13384,16,8,23,6,99.60556671876162,0.11907419810969709,0.05953710000000001,NA,0.04465282000000001,8825,72.27195470000001,14.107648699999999,3.20679887,13081,97.3505991,13.875086000000003,17.9947841,11.9143432,13.6601796,0,AAR
570,"CHAMPAIGN, IL",CHAMPAIGN,IL,0.058,173025,2983.1896599999995,146506,16559,331,8033,1596,84.67331310504262,9.570293310215288,0.19130183,4.64268169,0.9224100599999999,95971,87.49934879999999,41.29580810000001,17.7574476,154934,89.54428550000002,15.572437300000002,14.1322336,17.562727599999995,8.1050169,1,HAU
571,"CHRISTIAN, IL",CHRISTIAN,IL,0.042,34418,819.47619,34176,82,51,89,20,99.2968795397757,0.2382474286710442,0.14817828000000002,0.25858562,0.05810913000000001,22945,73.074744,13.567226,3.0899978200000002,33788,98.1695624,11.708298799999998,16.320612499999996,9.569699690000002,11.490640800000001,0,AAR
572,"CLARK, IL",CLARK,IL,0.03,15921,530.7,15842,10,26,36,7,99.50380001256202,0.06281012499214873,0.16330632,0.22611645000000002,0.04396709,10734,71.3340786,15.110862699999998,2.7762250799999997,15615,98.0780102,12.007684900000001,15.321547500000001,10.131775199999998,12.595419800000002,0,AAR
573,"CLAY, IL",CLAY,IL,0.028,14460,516.428571,14403,4,17,29,7,99.60580912863071,0.027662517289073305,0.11756570000000002,0.20055325000000002,0.04840941,9647,65.56442420000002,13.6830103,2.7884316400000007,14248,98.5338866,16.774284100000003,20.582577599999997,14.464114200000001,17.670078300000004,0,LAR
574,"CLINTON, IL",CLINTON,IL,0.028999999999999998,33944,1170.48276,32688,1021,48,104,83,96.29978788592976,3.0078953570586853,0.14140938000000006,0.3063869900000001,0.24452039000000003,21563,67.16597879999998,15.387469300000001,2.8752956499999995,32190,94.83266560000001,10.223671899999998,13.299402500000001,9.253834220000002,8.32317604,1,LAU
575,"COLES, IL",COLES,IL,0.03,51644,1721.4666700000002,50177,925,92,341,109,97.15939896212532,1.7911083572147781,0.17814267,0.6602896799999999,NA,29136,76.10516199999999,25.1750412,8.144563429999998,45693,88.4768802,16.748736099999995,16.3419409,18.792913799999997,10.9936084,0,AAR
576,"COOK, IL",COOK,IL,0.058,5105067,88018.3966,3204947,1317147,10289,188565,384119,62.779724536426265,25.800777932983053,0.20154486000000002,3.69368316,7.52426951,3291995,73.4058223,28.0181167,8.329964050000001,5023523,98.402685,14.198302699999998,22.2934971,11.665542400000001,10.8252688,1,AAU
577,"CRAWFORD, IL",CRAWFORD,IL,0.026000000000000002,19464,748.6153850000001,19300,63,34,48,19,99.1574188244965,0.32367447595561033,0.17468146,0.24660912000000001,0.09761611,13317,76.0306375,16.985807599999998,3.33408425,19123,98.2480477,10.5370496,13.809825,8.870242730000001,10.803387500000001,0,AAR
578,"CUMBERLAND, IL",CUMBERLAND,IL,0.02,10670,533.5,10627,5,6,26,6,99.59700093720713,0.046860356138706656,0.05623243,NA,0.05623243,6727,72.2461721,14.5978891,2.6906496199999994,10590,99.2502343,12.0491029,13.6031851,9.8222638,15.284625699999998,0,AAR
579,"DE KALB, IL",DE KALB,IL,0.038,77932,2050.8421100000005,72968,2069,123,1751,1021,93.63034440281271,2.6548786121233894,0.15782990000000002,2.24683057,1.31011651,41817,83.87976179999998,32.835928,11.1509673,69127,88.7016887,13.5446352,8.67823765,17.0474188,6.45390792,1,HAU
580,"DE WITT, IL",DE WITT,IL,0.023,16516,718.086957,16387,25,37,43,24,99.2189392104626,0.15136837006539114,0.22402519,0.2603536,0.14531364000000002,10941,74.6458276,16.195960100000004,3.3086555199999994,16238,98.3167837,10.315309800000001,13.568426,7.95599305,12.255344800000001,0,AAR
581,"DOUGLAS, IL",DOUGLAS,IL,0.025,19464,778.56,19280,16,19,41,108,99.05466502260583,0.08220304151253596,0.09761611,0.21064529000000004,0.5548705300000001,12550,74.03187249999999,16.868525899999998,3.84063745,19140,98.33538839999999,9.62904911,13.293543099999999,7.9247953099999995,8.714362559999998,0,AAR
582,"DU PAGE, IL",DU PAGE,IL,0.02,781666,39083.3,714905,15462,962,39634,10703,91.45913983721947,1.9780827105183034,0.12307047000000002,5.070452090000001,1.3692549,502321,88.5768264,42.768866900000006,11.963266500000001,771641,98.71748290000001,2.71473392,2.9452522699999997,2.3990640299999995,3.838249119999999,1,HLU
583,"EDGAR, IL",EDGAR,IL,0.036,19595,544.3055559999999,19469,68,24,24,10,99.35697882112784,0.3470273028833886,0.12248022000000001,0.12248022000000001,0.051033430000000005,13082,73.5208684,16.839932700000002,3.6768078299999996,19258,98.2801735,16.0037387,22.827628100000002,14.4809567,11.762013699999999,0,AAR
584,"EDWARDS, IL",EDWARDS,IL,0.014,7440,531.428571,7401,6,8,19,6,99.4758064516129,0.08064516129032258,0.10752688000000002,0.25537634000000003,0.08064516000000001,5019,69.67523409999998,16.935644599999996,2.4506873899999997,7350,98.79032260000001,12.204081599999999,15.1598677,10.9502501,11.859527900000002,0,AAR
