PID,C0unty Name,State,Area (sq miles),Total P0pulation,Population Density,popwhite,popblack,popamerindian,popasian,popother,percamerindan,Percentage Asian,percother,Population Over 18,perchsd,Percentage College,percprof,poppovertyknown,percpovertyknown,Percentage Below Poverty,percchildbelowpovert,percadultpoverty,percelderlypoverty,inmetro,category,Population per Sq Mile
3023, 0conto,Wis.,0.06,30226,503.766667,29926,18,212,36,34,0.70138292,0.11910276,0.11248594,19760,69.4078947,13.4311741,2.37854251,29750,98.4251969,12.0941176,14.1166317,9.63442252,15.5886158,0,AAR,503766.666666667
1266, 0ttawa ,Mich.,0.033,187768,5689.93939,179675,997,638,2451,4007,0.33978101,1.30533424,2.13401645,110737,79.7709889,26.9656935,6.15963951,181937,96.894572,5.9866877,6.29788172,5.89117375,5.68246591,1,ALU,5689939.39393939
1242, 13nawee,Michigan,0.043,91476,2127.34884,86323,1431,303,486,2933,0.33123442,0.53128689,NA,56323,76.3258349,18.7880617,4.58604833,87535,95.6917661,10.4015537,13.9918186,8.62787596,10.0333983,1,AAU,2127348.8372093
2051, 1ak3,OHIO,0.013,215499,16576.8462,209879,3528,250,1447,395,0.11600982,0.67146483,0.18329551,142348,81.0520696,23.6828055,5.20274257,213036,98.8570713,4.89729435,7.14098582,3.93348514,4.90623387,1,HLU,16576846.1538462
3015, 1incoln,Wis.,0.053,26993,509.301887,26712,84,96,78,23,0.35564776,0.28896381,0.08520728,17567,71.0593727,17.4417943,3.44395742,26273,97.3326418,10.4175389,13.7597459,8.59200576,10.8202124,0,AAR,509301.886792453
664, a1len,Ind.,0.041,300836,7337.46341,264086,30314,892,2644,2900,0.29650707,0.87888418,0.96398037,187856,81.1552466,27.3597862,6.85950941,296184,98.4536425,7.90353294,10.533689,6.7890146,7.30149415,1,HAU,7337463.41463415
1202, ar3nac,Mich.,0.021,14931,711,14695,10,139,38,49,0.93094903,0.25450405,0.32817628,9782,65.3956246,11.8278471,2.58638315,14664,98.2117742,20.6492089,28.9513678,18.2323366,16.0544649,0,LHR,711000
2011, ash1and,OHIO,0.025,47507,1900.28,46686,460,49,271,41,0.10314269,0.57044225,0.08630307,29403,76.0024487,17.2669455,4.15943951,45486,95.7458901,11.3441498,17.2289909,9.15943446,8.67428431,0,AAR,1900280
2983, barron,Wis.,0.053,40750,768.867925,40346,40,209,95,60,0.51288344,0.23312883,0.14723926,26198,72.9750363,19.425147,3.24452248,39931,97.990184,11.5524279,14.4092998,9.94820158,11.7280176,0,AAR,768867.924528302
672, c1ark,Ind.,0.022,87777,3989.86364,82289,4703,192,356,237,0.21873612,0.40557321,0.27000239,56970,72.7575917,16.8123574,4.05476567,86270,98.2831493,10.0649125,13.752694,8.18791412,10.9526235,1,AAU,3989863.63636364
568, carro1l,Ill.,0.027,16805,622.407407,16519,111,30,61,84,0.1785183,0.36298721,0.49985123,11323,75.9516029,16.1971209,3.05572728,16455,97.9172865,11.7107262,17.2254616,10.0270366,9.52505219,0,AAR,622407.407407407
1210, cass,Mich.,0.03,49477,1649.23333,44827,3725,469,191,265,0.94791519,0.38603796,0.5356024,31841,72.2778807,15.8443516,3.42639992,48946,98.9267741,11.8824827,17.7992278,9.57841732,10.2969621,0,AAR,1649233.33333333
2019, champaign,OHIO,0.026,36019,1385.34615,34698,992,68,113,148,0.18878925,NA,0.41089425,23023,75.3898276,13.9121748,2.8971029,35404,98.2925678,8.82668625,12.3796568,6.82405567,9.93365922,0,AAR,1385346.15384615
2991, co1umbia,Wis.,0.046,45088,980.173913,44469,243,136,136,104,0.30163236,0.30163236,0.23066004,29637,78.2535344,20.852313,3.54624287,43744,97.0191625,7.49359912,9.98292058,5.91446379,8.3589919,0,AAR,980173.913043478
576, cook,Ill.,0.058,5105067,88018.3966,3204947,1317147,10289,188565,384119,0.20154486,3.69368316,7.52426951,3291995,73.4058223,28.0181167,8.32996405,5023523,98.402685,14.1983027,22.2934971,11.6655424,10.8252688,1,AAU,88018396.5517241
680, d31aware,Indiana,0.023,119659,5202.56522,111232,7167,274,641,345,0.22898403,0.53568892,NA,70609,74.4664278,21.1970145,8.38844906,111645,93.302635,16.7477272,17.661107,17.8898595,11.7679641,1,AAU,5202565.2173913
2027, darke,OHIO,0.036,53619,1489.41667,53067,184,96,114,158,0.17904101,0.2126112,0.29467166,34048,73.4580592,13.475094,3.21898496,52557,98.0193588,8.98643378,12.1345723,7.14033102,9.59320612,0,AAR,1489416.66666667
1218, dickins0n,Mich.,0.046,26831,583.282609,26532,23,135,106,35,0.50314934,NA,0.13044613,17972,78.5221456,20.4206544,3.80035611,26455,98.5986359,9.8998299,12.2511263,7.1444387,13.4107884,0,AAR,583282.608695652
584, edwards,Ill.,0.014,7440,531.428571,7401,6,8,19,6,0.10752688,0.25537634,0.08064516,5019,69.6752341,16.9356446,2.45068739,7350,98.7903226,12.2040816,15.1598677,10.9502501,11.8595279,0,AAR,531428.571428571
2999, f10rence,Wis.,0.03,4590,153,4562,4,14,4,6,0.30501089,0.08714597,0.13071895,3057,75.171737,15.6035329,2.78050376,4513,98.3224401,13.1398183,18.8417618,10.3640257,12.605042,0,AAR,153000
2035, ga1lia,OHIO,0.026,30954,1190.53846,29831,871,79,136,37,0.25521742,0.43936163,0.11953221,19586,64.1784948,14.9341366,4.32451751,29824,96.3494217,22.4885998,28.4607819,19.7789588,21.7653936,0,LHR,1190538.46153846
688, gibson,Ind.,0.029,31913,1100.44828,31146,596,38,104,29,0.11907373,0.325886,0.09087206,20949,72.8053845,15.50432,3.50852069,31364,98.2796979,9.63843897,11.1341717,7.94889993,12.2426177,0,AAR,1100448.27586207
592, grundy,Ill.,0.026,32337,1243.73077,31864,21,45,113,294,0.13915948,0.34944491,0.90917525,20541,78.9640232,18.3778784,3.93846453,31979,98.8929091,6.6168423,6.93047172,5.32733914,10.4620084,1,ALU,1243730.76923077
2043, henry,OHIO,0.025,29108,1164.32,27951,147,53,95,862,0.18208053,0.32637076,2.96138519,18245,75.4343656,15.2589751,2.65826254,28491,97.8803078,6.96360254,8.67297428,5.1076843,9.92209922,0,ALR,1164320
