id,program.type,age,ethnicity.r,major,dal.course.code,se.1,se.2,se.3,se.4,se.5,se.6,se.7,se.8,asi.1,asi.2,asi.3,asi.4,asi.5,asi.6,asi.7,asi.8,asi.9,asi.10,asi.11,asi.12,asi.13,asi.14,asi.15,asi.16,asi.17,asi.18,pc.1,pc.2,pc.3,psp.1,psp.2,psp.3,frost.ps.1,frost.ps.2,frost.ps.3,frost.ps.4,frost.com.1,frost.com.2,frost.com.3,frost.com.4,frost.com.5,frost.da.1,frost.da.2,frost.da.3,frost.da.4,stat.anx.1,stat.anx.2,stat.anx.3,stat.anx.4,stat.anx.5,stat.anx.6,stat.anx.7,stat.anx.8,stat.anx.9,stat.anx.10,stat.anx.11,stat.anx.12,stat.anx.13,stat.anx.14,stat.anx.15,stat.anx.16,math.anx.1,math.anx.2,math.anx.3,math.anx.4,math.anx.5,math.anx.6,math.anx.7,math.anx.8,math.anx.9,faculty,stats,stats.history,gender.category,self.efficacy,asi.phys,asi.cog,asi.social,asi,perf.cog,perf.sp,frost.ps,frost.com,frost.da,stat.anx.tc,stat.anx.i,stat.anx.ah,stat.anx.ws,stat.anx.fst,stat.anx.sc,math.anx
12490341199,0,21,White,Psychology,"PSYO 2501, STAT 1060",4,3,4,4,4,4,3,3,4,3,5,2,3,5,5,4,5,5,2,4,5,3,2,3,5,3,3,3,3,7,7,7,5,4,3,4,5,4,4,5,4,4,3,3,3,4,5,4,5,5,3,5,4,3,3,2,2,4,4,4,4,3,5,4,5,5,3,4,5,3,0,0,1,1,3.625,3.666666667,3.333333333,4.333333333,3.777777778,3,7,4,4.4,3.25,4.666666667,3.666666667,5,3.666666667,3.666666667,2,4.111111111
12489089323,0,22,Middle Eastern,Biology,STAT 1060,5,5,5,4,4,5,5,3,3,4,4,4,5,4,1,1,3,4,1,1,1,2,1,4,5,2,3,3,3,7,7,7,4,4,4,4,2,1,3,1,5,1,1,1,2,3,1,1,4,4,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,2,1,1,0,1,1,4.5,2,3.5,2.833333333,2.777777778,3,7,4,2.4,1.25,3.666666667,1,1,1,1,1,1.333333333
12488861061,0,16,Black,Acting,,4,5,5,5,5,5,4,5,5,3,5,5,3,5,3,1,5,1,3,3,5,1,3,2,5,1,3,3,3,6,7,7,4,2,3,4,2,4,2,2,2,4,4,4,4,3,1,3,5,5,3,1,1,2,2,2,2,2,2,2,2,1,1,1,5,1,1,1,5,1,0,0,0,0,4.75,3.333333333,1.833333333,4.666666667,3.277777778,3,6.666666667,3.25,2.4,4,4.333333333,2.333333333,1,2,2,2,1.888888889
12487149081,0,19,White,Pharmacy ,,5,4,4,5,4,4,3,3,5,1,3,1,1,2,2,1,1,1,1,1,3,1,2,1,4,1,4,3,3,6,3,4,4,4,3,4,4,2,3,3,1,4,1,4,4,2,3,1,2,2,1,2,2,2,2,2,1,3,4,2,3,1,2,1,2,2,1,1,3,1,1,0,0,0,4,1.666666667,1,2.666666667,1.777777778,3.333333333,4.333333333,3.75,2.6,3.25,2,1.333333333,2.5,2.666666667,2.666666667,1.5,1.555555556
12486771921,0,18,White,Undecided,STAT 1060,4,3,4,4,4,4,4,4,4,4,3,2,3,4,4,2,4,4,4,3,5,4,2,4,2,4,3,2,3,7,7,7,4,4,4,3,2,3,2,4,3,4,4,2,3,4,4,3,5,5,3,4,4,2,2,1,1,2,3,2,2,2,4,2,4,5,3,2,5,2,1,1,0,1,3.875,2.666666667,3.833333333,3.833333333,3.444444444,2.666666667,7,3.75,2.8,3.25,4.666666667,3.333333333,4,2,2.333333333,1,3.222222222
12486512165,0,19,White,neuroscience,stat 1060,4,4,3,5,5,5,4,4,5,5,5,3,3,5,2,2,2,2,4,4,4,4,4,3,3,3,4,4,4,7,7,7,5,5,5,5,4,2,3,4,4,4,4,4,2,3,5,3,5,5,5,2,4,3,2,2,3,5,5,1,5,5,5,5,5,4,2,3,5,3,1,1,0,1,4.25,3.333333333,3.333333333,3.833333333,3.5,4,7,5,3.4,3.5,4.333333333,4,3.5,4.333333333,2.666666667,2.5,4.111111111
12484222078,0,21,Hispanic/Latinx,Microbiology & Immunology,STAT1060,4,4,4,4,5,5,5,3,3,5,4,1,4,1,2,1,1,1,3,1,1,1,1,3,1,1,4,4,4,7,7,6,4,5,5,3,4,4,2,5,3,3,4,5,3,4,5,3,4,5,2,5,5,1,1,1,1,1,1,1,1,1,4,3,4,2,3,3,5,3,1,0,1,1,4.25,1.666666667,2.5,1.666666667,1.944444444,4,6.666666667,4.25,3.6,3.75,4.333333333,3.333333333,5,1,1,1,3.111111111
12484106653,0,19,White,undecided,N/A,4,4,5,4,5,4,5,5,2,1,2,2,1,1,3,2,3,5,4,3,4,2,3,3,5,4,2,2,2,5,5,5,2,2,2,2,3,2,2,2,3,3,2,1,1,NA,NA,NA,NA,NA,NA,3,NA,2,NA,3,2,3,2,2,2,1,1,1,4,3,1,1,4,3,0,0,0,1,4.5,2.5,2.666666667,3.166666667,2.777777778,2,5,2,2.4,1.75,NA,NA,3,2.333333333,2,2.5,2.111111111
12483856411,0,18,White,undecided,STAT 1060,4,3,4,4,4,4,4,3,4,2,4,2,2,1,1,3,2,1,2,2,2,2,2,3,3,4,2,1,2,4,3,6,2,3,2,2,3,3,2,3,2,3,4,2,2,4,3,4,3,4,4,3,2,3,3,4,3,3,4,3,3,1,4,3,5,5,3,4,5,2,1,1,0,1,3.75,2.333333333,2.333333333,2.333333333,2.333333333,1.666666667,4.333333333,2.25,2.6,2.75,3.666666667,3.333333333,3,3,3.333333333,3.5,3.555555556
12481184335,0,28,Mixed/Other,undecided,,5,5,5,5,5,5,5,5,4,2,2,3,3,1,2,2,1,1,1,1,1,1,1,1,2,1,NA,NA,2,1,1,1,1,2,3,3,1,1,1,1,1,1,3,2,1,4,1,2,5,5,2,1,1,1,1,1,1,1,1,1,1,1,3,1,4,3,1,1,3,1,1,0,1,1,5,1.833333333,1.5,1.666666667,1.666666667,2,1,2.25,1,1.75,4.666666667,1.666666667,1,1,1,1,2
12480280995,0,21,White,French,,4,4,4,4,4,3,3,4,1,3,5,4,3,1,5,5,1,3,1,5,1,4,4,4,2,3,NA,NA,NA,2,2,2,1,4,3,2,2,2,2,2,1,3,2,2,2,2,4,3,4,4,2,4,2,3,3,2,2,2,3,3,2,1,2,1,2,2,1,1,3,1,0,0,0,1,3.75,4.666666667,3.333333333,1.166666667,3.055555556,NA,2,2.5,1.8,2.25,3.333333333,2.333333333,4,2.333333333,3,2,1.555555556
12480225169,0,18,White,Undecided,,4,3,4,5,3,2,2,2,3,2,2,3,1,2,1,1,3,1,3,1,4,1,1,1,4,1,1,1,2,5,4,5,2,3,3,3,3,4,4,4,2,4,4,3,4,4,5,3,5,4,2,2,4,2,2,4,3,2,2,2,3,1,4,1,5,3,1,2,5,3,0,0,0,1,3.125,1.5,1.166666667,3.166666667,1.944444444,1.333333333,4.666666667,2.75,3.4,3.75,4.333333333,3,3.5,2.333333333,2,3.5,2.777777778
12479776416,0,21,White,Biology/chemistry double major ,Stat1060,5,5,4,4,4,5,4,5,2,1,1,1,2,1,2,3,2,2,1,1,1,2,2,2,2,1,2,NA,1,5,3,5,3,4,2,4,1,2,2,1,2,4,4,3,2,1,1,1,1,1,1,1,2,2,3,2,1,1,4,3,1,1,2,1,1,2,1,1,2,1,1,0,1,0,4.5,1.666666667,1.666666667,1.5,1.611111111,1.5,4.333333333,3.25,1.6,3.25,1,1.333333333,1,1.333333333,3.333333333,1.5,1.333333333
12479745443,0,21,White,Biology/chemistry double major ,Stat1060,5,5,5,5,5,5,4,5,3,2,1,1,1,2,1,2,2,1,1,1,2,1,1,1,2,1,2,1,2,5,6,5,3,4,3,3,2,2,1,1,3,4,4,2,2,1,1,1,1,1,1,1,2,2,4,2,1,1,4,4,1,1,2,1,1,3,1,1,2,1,1,0,1,0,4.875,1.166666667,1.166666667,2,1.444444444,1.666666667,5.333333333,3.25,1.8,3,1,1.333333333,1,1.333333333,4,1.5,1.444444444
12479300686,0,23,White,undecided,,4,4,4,4,4,4,3,4,5,3,3,2,3,1,1,1,2,2,2,3,2,1,1,2,2,2,1,NA,1,2,2,2,1,2,2,2,1,1,1,1,2,2,1,1,1,3,3,4,4,4,1,2,3,3,2,4,4,3,3,3,4,3,4,2,3,3,1,2,4,1,0,0,0,1,3.875,1.833333333,2.166666667,2.333333333,2.111111111,1,2,1.75,1.2,1.25,3.666666667,2.666666667,2.5,3.333333333,2.666666667,4,2.555555556
12479220784,0,25,White,Nursing,STAT 1060,5,4,5,5,5,4,4,4,4,3,1,1,5,1,2,5,5,1,1,1,4,4,1,5,5,3,4,4,4,7,5,6,5,5,4,4,5,3,3,5,3,3,4,3,4,4,3,3,5,5,3,3,4,2,2,2,3,1,1,1,1,2,4,3,5,3,1,1,5,1,1,1,1,1,4.5,1.833333333,3.5,3.333333333,2.888888889,4,6,4.5,3.8,3.5,4.666666667,3.333333333,3,1.333333333,1.333333333,2.5,2.777777778
12477724724,0,21,Hispanic/Latinx,Psychology,"STAT 1060, STAT 2080, PSYO 2501",5,5,5,5,5,5,5,5,3,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,2,1,4,2,4,5,4,4,4,4,5,4,4,1,2,1,2,3,3,2,2,3,2,2,4,4,2,2,2,1,1,1,1,1,1,1,1,1,4,1,3,2,2,1,4,1,1,0,1,1,5,1.333333333,1,1.5,1.277777778,3.333333333,4.333333333,4.25,2,2.5,3.666666667,2,2,1,1,1,2.111111111
12473152907,0,21,White,Neuroscience,STAT 1060 & PSYO 2501,3,2,2,2,4,3,2,2,3,1,1,1,1,2,2,1,2,2,1,1,2,1,1,1,5,1,2,2,3,7,7,7,4,3,2,2,4,4,4,4,4,4,3,4,5,4,5,3,5,4,2,5,3,1,2,4,3,1,4,3,2,2,4,2,5,5,3,1,5,3,1,0,1,1,2.5,1.166666667,1.166666667,2.5,1.611111111,2.333333333,7,2.75,4,4,4.333333333,2.666666667,5,1.333333333,3,3.5,3.333333333
12463687363,0,18,Mixed/Other,Sustainability,,4,3,4,4,4,2,3,4,3,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,NA,2,2,5,5,2,2,4,4,2,2,2,2,2,2,2,2,4,4,3,4,5,5,3,3,5,2,2,2,2,4,4,3,4,3,4,4,5,5,4,4,5,3,0,0,0,1,3.5,1.166666667,1,1.666666667,1.277777778,1.5,4,3,2,2.5,4.666666667,4,3,3.333333333,3,2,4.111111111
12459021916,0,20,Middle Eastern,psychology,stat 1060,4,4,5,4,4,4,5,4,4,3,5,3,4,3,5,3,4,1,2,5,2,1,5,1,3,1,3,4,3,6,5,4,4,4,4,4,5,4,5,5,4,2,4,2,2,4,3,2,5,5,4,3,4,3,3,4,3,2,3,2,2,3,5,3,5,4,4,3,5,5,1,1,1,0,4.25,4.333333333,1.833333333,3,3.055555556,3.333333333,5,4,4.6,2.5,4.666666667,3.333333333,3,2.333333333,2.666666667,3.5,4.111111111
12454006835,0,18,White,Medical Sciences,STAT 1060,4,4,4,4,4,4,3,4,2,3,3,1,3,1,4,2,4,4,4,2,4,3,1,4,2,2,4,3,3,6,6,6,5,5,4,4,4,4,4,4,2,5,4,4,5,3,3,2,4,4,3,2,3,2,1,1,1,1,1,1,1,2,3,2,4,3,2,2,3,2,1,1,0,1,3.875,2.166666667,3.166666667,2.833333333,2.722222222,3.333333333,6,4.5,3.6,4.5,3.666666667,2.666666667,2.5,1.333333333,1,1,2.555555556
12453231719,0,18,Middle Eastern,undecided,,4,4,4,4,4,4,4,4,3,1,2,2,1,2,1,2,1,1,1,1,2,1,1,1,1,1,3,3,3,6,5,6,4,4,4,4,3,4,2,2,4,2,3,1,4,3,3,2,3,2,2,2,2,1,2,2,2,1,2,2,1,1,3,1,3,3,2,1,2,1,1,0,0,1,4,1.5,1,1.666666667,1.388888889,3,5.666666667,4,3,2.5,2.666666667,2,2.5,1,2,2,1.888888889
12453176032,0,18,Middle Eastern,undecided,,5,4,4,4,5,5,4,3,2,2,2,2,1,2,2,2,2,1,1,1,2,1,1,1,1,1,3,2,3,7,5,4,4,4,5,4,4,4,3,2,4,2,2,2,4,4,4,2,4,3,2,2,2,1,2,2,2,1,2,3,1,1,3,1,3,4,2,1,3,1,1,0,0,1,4.25,1.666666667,1.166666667,1.666666667,1.5,2.666666667,5.333333333,4.25,3.4,2.5,3.666666667,2,3,1,2.333333333,2,2.111111111
12453175692,0,19,Middle Eastern,Undecided,,5,5,4,5,5,4,4,4,3,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,4,1,3,3,4,3,6,1,5,5,5,4,1,1,1,1,1,2,1,1,1,3,1,2,5,4,3,1,1,2,NA,1,1,1,1,1,1,1,2,1,4,3,1,1,1,2,1,0,0,0,4.5,1,1,2,1.333333333,3.333333333,3.333333333,4.75,1,1.25,4,2,1,1.333333333,1,1,1.777777778
12448310946,0,21,White,Medical Sciences,STAT1060,4,4,4,4,4,4,4,4,5,1,2,2,2,3,3,1,4,1,1,1,4,2,1,1,4,2,4,4,4,6,6,6,5,4,3,3,4,2,4,4,3,4,4,2,2,4,5,2,3,3,3,3,3,2,2,2,2,4,4,4,3,2,1,1,2,2,1,2,4,1,1,0,1,1,4,1.666666667,1.5,3.5,2.222222222,4,6,3.75,3.4,3,3.333333333,2.666666667,4,3,3.333333333,2,1.777777778
12447261798,0,23,Asian,Neuroscience,PSYO 3502,4,4,4,4,4,4,5,4,4,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,4,2,4,5,5,6,4,4,4,4,3,2,3,3,1,4,4,3,3,3,2,2,4,3,3,1,3,1,1,1,2,1,2,2,1,1,2,1,3,4,2,2,4,3,1,0,1,0,4.125,1,1,1.666666667,1.222222222,3.333333333,5.333333333,4,2.4,3.5,3.333333333,2.666666667,1.5,1,1.666666667,1.5,2.444444444
12442972175,0,21,White,PSYCHOLOGY,PSYO 2501,5,5,5,5,5,5,4,5,4,1,1,1,1,2,3,1,1,3,2,1,2,1,1,1,2,1,2,3,3,6,6,5,4,4,4,4,1,4,1,2,1,2,1,1,1,2,4,1,3,2,4,3,2,2,2,1,2,2,2,2,2,1,1,1,2,2,1,1,2,1,0,0,1,1,4.875,1.333333333,1.333333333,2.166666667,1.611111111,2.666666667,5.666666667,4,1.8,1.25,2.333333333,2.333333333,3.5,2,2,1.5,1.333333333
12442746686,0,21,White,Psychology,"STAT 1060, STAT 2080, and PSYO 2501",4,3,4,5,4,4,4,5,4,3,1,1,2,1,1,1,1,1,2,1,1,2,1,2,1,1,3,3,3,7,6,5,4,4,4,4,3,2,2,4,1,4,3,2,3,3,5,1,4,4,3,3,3,1,1,1,1,1,1,1,1,1,3,1,4,3,1,1,5,2,1,0,1,1,4.125,1,1.833333333,1.666666667,1.5,3,6,4,2.4,3,3.666666667,2.333333333,4,1,1,1,2.333333333
12439698851,0,19,White,undecided,STAT1060,4,4,4,3,4,4,3,4,3,5,NA,5,5,NA,NA,NA,4,NA,2,5,4,NA,NA,NA,2,5,3,3,2,2,4,4,4,3,3,3,4,2,1,2,4,3,4,3,0,4,5,2,5,NA,4,NA,3,2,2,1,2,2,3,NA,2,1,3,NA,5,4,NA,4,4,1,1,1,0,1,3.75,5,5,3,4,2.666666667,3.333333333,3.25,2.6,2.5,4.5,3,5,2,2.5,1.5,3.142857143
12436405458,0,18,White,Medical Sciences ,STAT 1060,5,4,4,4,4,4,4,4,2,4,3,5,3,4,3,5,3,3,2,2,3,4,3,4,2,4,3,4,4,6,5,5,4,3,3,5,5,2,4,3,3,4,5,2,5,2,3,4,3,4,4,3,NA,4,4,5,3,4,3,4,5,4,5,3,4,3,4,4,5,4,1,1,0,1,4.125,3.5,3.666666667,2.666666667,3.277777778,3.666666667,5.333333333,3.75,3.4,4,3,4,3,4.333333333,3.666666667,4,4
