 Flight Number,Departure Delay,Arrival Delay,Airline,Origin Airport,Destination Airport,Distance,Flight Date,Delay Ratio
244,-7,-23,UA,EWR,LAS,2180,2013-06-17 10:00:00,3.28571428571429
2455,14,34,DL,LGA,MCO,958,2013-12-26 13:00:00,2.42857142857143
1623,40,-6,UA,EWR,SNA,2526,2013-08-26 12:00:00,-0.15
543,-2,-14,B6,EWR,PBI,997,2013-08-17 16:00:00,7
1753,NA,NA,US,EWR,CLT,588,2013-02-17 15:00:00,NA
5,5,-6,B6,EWR,FLL,1110,2013-06-30 09:00:00,-1.2
1131,-8,-40,AA,LGA,DFW,1311,2013-09-15 10:00:00,5
4411,-4,1, EV,EWR,MEM,934,2013-05-07 16:00:00,-0.25
1281,18,8,US,EWR,CLT,470,2013-03-14 06:00:00,0.444444444444444
11,NA,-25,VX,JFK,SFO,2583,2013-09-04 07:00:00,25
15,0,-3,B6 ,JFK,SFO,2491,2013-07-31 08:00:00,-Inf
1847,-4,-21,DL,LGA,ATL,788,2013-06-17 10:00:00,5.25
739,-1,-4,B6,JFK,PSE,1635,2013-06-08 23:00:00,4
427,NA,NA,UA,LGA,IAH,1317,2013-04-17 07:00:00,NA
1033,-3,NA,AA,EWR,DFW,1464,2013-05-26 12:00:00,6.66666666666667
3798,-4,-37, 9E,JFK,CLT,565,2013-03-30 19:00:00,9.25
4377,-6,-10,EV,EWR,JAX,748,2013-09-03 14:00:00,1.66666666666667
4246,-3,-23,EV,EWR,DTW,568,2013-09-24 08:00:00,7.66666666666667
602,25,45,B6,JFK,PWM,184,2013-02-24 14:00:00,1.8
691,NA,-23,NA,LGA,ORD,735,2013-10-21 17:00:00,3.28571428571429
5181,83,58,EV,LGA,MSN,756,2013-10-11 13:00:00,0.698795180722892
4326,-4,7,EV ,EWR,CLT,531,2013-02-15 15:00:00,-1.75
5209,193,150,EV,LGA,CHS,636,2013-10-04 20:00:00,0.77720207253886
9,4,16, B6,JFK,MCO,873,2013-04-02 17:00:00,4
1444,-7,-23,UA,EWR,MSY,NA,2013-11-04 12:00:00,3.28571428571429
3231,-5,-9,MQ,JFK,PIT,343,2013-11-04 14:00:00,1.8
155,-5,-8,B6,JFK,MCO,981,2013-03-04 19:00:00,1.6
3319,-2,-18,9E,JFK,BUF,335,2013-08-17 12:00:00,9
5797,-10,-7,EV,EWR,RIC,373,2013-11-13 11:00:00,0.7
4140,NA,NA,EV,EWR,ATL,817,2013-06-13 09:00:00,-15.75
2041,26,-12,DL,JFK,ATL,724,2013-08-04 19:00:00,-0.461538461538462
80,24,11, UA,EWR,MIA,1087,2013-03-04 17:00:00,0.458333333333333
4502,7,-13,EV ,EWR,BNA,733,2013-03-02 15:00:00,-1.85714285714286
1218,74,58,UA,EWR,DFW,1347,2013-07-07 18:00:00,0.783783783783784
849,NA,NA,UA,EWR,MSY,1153,2013-05-23 21:00:00,NA
561,10,-24,UA,LGA,DEN,1686,2013-06-29 07:00:00,-2.4
4580,-6,-10,EV,EWR,MKE,706,2013-11-05 15:00:00,1.66666666666667
251,11,1,VX,JFK,LAS,2272,2013-05-24 09:00:00,0.0909090909090909
469,-2,21,DL,JFK,SFO,2543,2013-12-04 10:00:00,-10.5
4963,NA,-13, NA,EWR,MSP,981,2013-08-26 06:00:00,-Inf
3556,-4,-7,MQ,LGA,DTW,521,2013-10-04 17:00:00,1.75
4412,33,13,EV,EWR,BUF,290,2013-02-13 20:00:00,0.393939393939394
693,115,89,UA,LGA,ORD,762,2013-09-19 19:00:00,0.773913043478261
3809,42,35,EV ,EWR,GSO,509,2013-03-29 07:00:00,0.833333333333333
1473,12,NA,DL,LGA,MEM,1024,2013-06-17 16:00:00,0.0833333333333333
1965,1,-14,US,EWR,CLT,431,2013-12-22 06:00:00,-14
1247,-3,-9,DL,LGA,ATL,696,2013-08-21 21:00:00,3
1022,-4,-1, UA,EWR,IAH,1346,2013-10-31 18:00:00,0.25
318,-1,3,UA,EWR,IAH,1313,2013-05-03 13:00:00,-3
1451,NA,-17,UA,EWR,MCO,NA,2013-10-12 11:00:00,-8.5
4373,80,116,EV,EWR,DCA,274,2013-01-17 17:00:00,1.45
1889,12,-3,WN,LGA,STL,897,2013-12-27 12:00:00,-0.25
2219,28,52,DL,LGA,MSP,1086,2013-03-18 11:00:00,1.85714285714286
23,-4,-33,B6,JFK,LAX,2525,2013-09-04 07:00:00,8.25
543,-5,-33,AA ,JFK,MIA,1040,2013-05-25 17:00:00,6.6
4410,67,51, MQ,JFK,DCA,215,2013-03-19 17:00:00,0.761194029850746
269,-3,-4,AA,JFK,SEA,2338,2013-01-06 18:00:00,1.33333333333333
4122,-2,-12,EV,EWR,SDF,742,2013-05-06 06:00:00,6
3798,-2,-12,9E,JFK,CLT,585,2013-04-08 19:00:00,6
2177,NA,NA,NA,LGA,DCA,117,2013-04-16 14:00:00,1.22222222222222
1580,36,33,UA,EWR,ORD,651,2013-02-10 14:00:00,0.916666666666667
3395,-11,-46,9E,JFK,DCA,298,2013-10-16 20:00:00,4.18181818181818
313,-9,-37,AA,LGA,ORD,765,2013-09-02 09:00:00,4.11111111111111
2395,0,-7, DL,LGA,PBI,983,2013-06-02 08:00:00,-Inf
1769,-4,3,AA,JFK,MIA,1077,2013-07-12 15:00:00,-0.75
1013,6,-17,B6 ,JFK,LGB,2490,2013-12-01 18:00:00,-2.83333333333333
2910,-3,-17,9E,JFK,CVG,641,2013-11-06 16:00:00,5.66666666666667
4418,-9,5,MQ,JFK,DCA,135,2013-02-01 08:00:00,-0.555555555555556
483,-2,6,UA,EWR,FLL,967,2013-09-23 13:00:00,-3
5195,NA,-25,EV,LGA,RIC,331,2013-10-07 08:00:00,6.25
31,13,6,B6,JFK,MCO,971,2013-01-26 10:00:00,0.461538461538462
2159,7,31, DL,JFK,MCO,981,2013-10-06 19:00:00,4.42857142857143
745,10,-4,AA,LGA,DFW,1401,2013-06-13 12:00:00,-0.4
1147,-5,-12,DL,LGA,ATL,703,2013-10-28 20:00:00,2.4
3386,119,NA,MQ,JFK,DCA,NA,2013-08-03 11:00:00,0.907563025210084
411,28,34,UA,EWR,AUS,1510,2013-02-22 14:00:00,1.21428571428571
687,139,126,UA ,LGA,ORD,711,2013-03-12 16:00:00,0.906474820143885
737,-4,-26,UA,EWR,IAH,1367,2013-04-06 09:00:00,6.5
4672,-8,-23,EV,EWR,STL,930,2013-04-03 21:00:00,2.875
1165,NA,-13, NA,EWR,LAX,2449,2013-11-11 18:00:00,-1.44444444444444
117,-4,0,B6,JFK,MSY,1240,2013-04-01 06:00:00,0
4141,-7,-24,EV,EWR,ATL,771,2013-11-13 14:00:00,3.42857142857143
179,5,20,AA,JFK,SFO,2607,2013-03-14 10:00:00,4
2179,-2,-1,US,LGA,DCA,138,2013-01-08 15:00:00,0.5
381,3,1,B6,LGA,FLL,996,2013-02-04 19:00:00,0.333333333333333
1108,131,121,UA,EWR,IAH,1345,2013-06-26 14:00:00,0.923664122137405
1647,-1,-10,DL,LGA,ATL,831,2013-06-09 10:00:00,10
153,32,13, B6 ,JFK,PBI,1039,2013-08-19 18:00:00,0.40625
1611,9,-3,AA,LGA,MIA,1194,2013-03-25 18:00:00,-0.333333333333333
4495,NA,NA,EV,EWR,SAV,733,2013-06-28 09:00:00,0.4
219,-4,-17,B6,JFK,CLT,628,2013-03-15 08:00:00,4.25
917,-5,-20,B6,JFK,ORD,728,2013-03-15 16:00:00,4
